"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE02120300000000202051";"02.03.2023";"02.03.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV34567890";"";"87,20";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-87,20";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.03.2023";"03.03.2023";"LASTSCHRIFT";"Miete März";"DE33ZZZ00088888888";"MREF20220101";"RENT202303";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.03.2023";"05.03.2023";"UEBERWEISUNG";"Elektronik";"";"";"ELECTRO20230304";"";"";"";"MediaMarkt Online";"DE02500105170123456789";"INGDDEFFXXX";"-249,99";"EUR";"Technik"
"DE02120300000000202051";"08.03.2023";"08.03.2023";"GUTSCHRIFT";"Verkauf eBay";"";"";"EBAY20230307";"";"";"";"eBay Käufer";"DE02500105170123456789";"INGDDEFFXXX";"75,00";"EUR";"Private Veräußerung"
"DE02120300000000202051";"10.03.2023";"10.03.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202303";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.03.2023";"12.03.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230311";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-78,30";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.03.2023";"15.03.2023";"UEBERWEISUNG";"Frühstück";"";"";"BREAKFAST20230314";"";"";"";"Café Central";"DE02500105170123456789";"INGDDEFFXXX";"-18,50";"EUR";"Gastronomie"
"DE02120300000000202051";"18.03.2023";"18.03.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY34567";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.03.2023";"20.03.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF345678901";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.03.2023";"22.03.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230321";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-62,10";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.03.2023";"25.03.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB345678";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.03.2023";"28.03.2023";"UEBERWEISUNG";"Apotheke";"";"";"PHARM20230327";"";"";"";"Apotheke am Markt";"DE02500105170123456789";"INGDDEFFXXX";"-15,80";"EUR";"Medikamente"
"DE02120300000000202051";"01.04.2023";"01.04.2023";"GUTSCHRIFT";"Gehalt März";"";"";"SALARY2023-03";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.04.2023";"02.04.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV45678901";"";"88,65";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-88,65";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.04.2023";"03.04.2023";"LASTSCHRIFT";"Miete April";"DE33ZZZ00088888888";"MREF20220101";"RENT202304";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.04.2023";"05.04.2023";"UEBERWEISUNG";"Möbelhaus";"";"";"FURNITURE20230404";"";"";"";"IKEA Deutschland";"DE02500105170123456789";"INGDDEFFXXX";"-189,90";"EUR";"Haushaltswaren"
"DE02120300000000202051";"08.04.2023";"08.04.2023";"GUTSCHRIFT";"Bonus";"";"";"BONUS20230407";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"500,00";"EUR";"Jahresbonus"
"DE02120300000000202051";"10.04.2023";"10.04.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202304";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.04.2023";"12.04.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230411";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-85,20";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.04.2023";"15.04.2023";"UEBERWEISUNG";"Kino";"";"";"CINEMA20230414";"";"";"";"CinemaxX Musterstadt";"DE02500105170123456789";"INGDDEFFXXX";"-24,50";"EUR";"Freizeit"
"DE02120300000000202051";"18.04.2023";"18.04.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY45678";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.04.2023";"20.04.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF456789012";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.04.2023";"22.04.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230421";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-59,80";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.04.2023";"25.04.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB456789";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.04.2023";"28.04.2023";"UEBERWEISUNG";"Kleidung";"";"";"CLOTHES20230427";"";"";"";"Zalando";"DE02500105170123456789";"INGDDEFFXXX";"-112,30";"EUR";"Bekleidung"
"DE02120300000000202051";"01.05.2023";"01.05.2023";"GUTSCHRIFT";"Gehalt April";"";"";"SALARY2023-04";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.05.2023";"02.05.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV56789012";"";"89,10";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-89,10";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.05.2023";"03.05.2023";"LASTSCHRIFT";"Miete Mai";"DE33ZZZ00088888888";"MREF20220101";"RENT202305";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.05.2023";"05.05.2023";"UEBERWEISUNG";"Elektronik";"";"";"ELECTRO20230504";"";"";"";"Saturn Online";"DE02500105170123456789";"INGDDEFFXXX";"-129,99";"EUR";"Technik"
"DE02120300000000202051";"08.05.2023";"08.05.2023";"GUTSCHRIFT";"Verkauf eBay";"";"";"EBAY20230507";"";"";"";"eBay Käufer";"DE02500105170123456789";"INGDDEFFXXX";"45,00";"EUR";"Private Veräußerung"
"DE02120300000000202051";"10.05.2023";"10.05.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202305";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.05.2023";"12.05.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230511";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-91,75";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.05.2023";"15.05.2023";"UEBERWEISUNG";"Restaurant";"";"";"DINNER20230514";"";"";"";"Griechisches Restaurant";"DE02500105170123456789";"INGDDEFFXXX";"-52,60";"EUR";"Abendessen"
"DE02120300000000202051";"18.05.2023";"18.05.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY56789";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.05.2023";"20.05.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF567890123";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.05.2023";"22.05.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230521";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-63,40";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.05.2023";"25.05.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB567890";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.05.2023";"28.05.2023";"UEBERWEISUNG";"Apotheke";"";"";"PHARM20230527";"";"";"";"Apotheke am Markt";"DE02500105170123456789";"INGDDEFFXXX";"-21,30";"EUR";"Medikamente"
"DE02120300000000202051";"01.06.2023";"01.06.2023";"GUTSCHRIFT";"Gehalt Mai";"";"";"SALARY2023-05";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.06.2023";"02.06.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV67890123";"";"90,55";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-90,55";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.06.2023";"03.06.2023";"LASTSCHRIFT";"Miete Juni";"DE33ZZZ00088888888";"MREF20220101";"RENT202306";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.06.2023";"05.06.2023";"UEBERWEISUNG";"Möbelhaus";"";"";"FURNITURE20230604";"";"";"";"IKEA Deutschland";"DE02500105170123456789";"INGDDEFFXXX";"-149,90";"EUR";"Haushaltswaren"
"DE02120300000000202051";"08.06.2023";"08.06.2023";"GUTSCHRIFT";"Bonus";"";"";"BONUS20230607";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"300,00";"EUR";"Projektbonus"
"DE02120300000000202051";"10.06.2023";"10.06.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202306";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.06.2023";"12.06.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230611";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-83,60";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.06.2023";"15.06.2023";"UEBERWEISUNG";"Kino";"";"";"CINEMA20230614";"";"";"";"CinemaxX Musterstadt";"DE02500105170123456789";"INGDDEFFXXX";"-24,50";"EUR";"Freizeit"
"DE02120300000000202051";"18.06.2023";"18.06.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY67890";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.06.2023";"20.06.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF678901234";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.06.2023";"22.06.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230621";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-61,20";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.06.2023";"25.06.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB678901";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.06.2023";"28.06.2023";"UEBERWEISUNG";"Kleidung";"";"";"CLOTHES20230627";"";"";"";"H&M Online";"DE02500105170123456789";"INGDDEFFXXX";"-79,95";"EUR";"Bekleidung"
"DE02120300000000202051";"01.07.2023";"01.07.2023";"GUTSCHRIFT";"Gehalt Juni";"";"";"SALARY2023-06";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.07.2023";"02.07.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV78901234";"";"91,00";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-91,00";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.07.2023";"03.07.2023";"LASTSCHRIFT";"Miete Juli";"DE33ZZZ00088888888";"MREF20220101";"RENT202307";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.07.2023";"05.07.2023";"UEBERWEISUNG";"Elektronik";"";"";"ELECTRO20230704";"";"";"";"MediaMarkt Online";"DE02500105170123456789";"INGDDEFFXXX";"-199,99";"EUR";"Technik"
"DE02120300000000202051";"08.07.2023";"08.07.2023";"GUTSCHRIFT";"Verkauf eBay";"";"";"EBAY20230707";"";"";"";"eBay Käufer";"DE02500105170123456789";"INGDDEFFXXX";"65,00";"EUR";"Private Veräußerung"
"DE02120300000000202051";"10.07.2023";"10.07.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202307";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.07.2023";"12.07.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230711";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-86,90";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.07.2023";"15.07.2023";"UEBERWEISUNG";"Restaurant";"";"";"DINNER20230714";"";"";"";"Italienisches Restaurant";"DE02500105170123456789";"INGDDEFFXXX";"-72,40";"EUR";"Abendessen"
"DE02120300000000202051";"18.07.2023";"18.07.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY78901";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.07.2023";"20.07.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF789012345";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.07.2023";"22.07.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230721";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-64,70";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.07.2023";"25.07.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB789012";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.07.2023";"28.07.2023";"UEBERWEISUNG";"Apotheke";"";"";"PHARM20230727";"";"";"";"Apotheke am Markt";"DE02500105170123456789";"INGDDEFFXXX";"-19,80";"EUR";"Medikamente"
"DE02120300000000202051";"01.08.2023";"01.08.2023";"GUTSCHRIFT";"Gehalt Juli";"";"";"SALARY2023-07";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.08.2023";"02.08.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV89012345";"";"92,45";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-92,45";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.08.2023";"03.08.2023";"LASTSCHRIFT";"Miete August";"DE33ZZZ00088888888";"MREF20220101";"RENT202308";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.08.2023";"05.08.2023";"UEBERWEISUNG";"Möbelhaus";"";"";"FURNITURE20230804";"";"";"";"IKEA Deutschland";"DE02500105170123456789";"INGDDEFFXXX";"-179,90";"EUR";"Haushaltswaren"
"DE02120300000000202051";"08.08.2023";"08.08.2023";"GUTSCHRIFT";"Bonus";"";"";"BONUS20230807";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"400,00";"EUR";"Projektbonus"
"DE02120300000000202051";"10.08.2023";"10.08.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202308";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.08.2023";"12.08.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230811";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-84,30";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.08.2023";"15.08.2023";"UEBERWEISUNG";"Kino";"";"";"CINEMA20230814";"";"";"";"CinemaxX Musterstadt";"DE02500105170123456789";"INGDDEFFXXX";"-24,50";"EUR";"Freizeit"
"DE02120300000000202051";"18.08.2023";"18.08.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY89012";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.08.2023";"20.08.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF890123456";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.08.2023";"22.08.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230821";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-62,90";"EUR";"Kraftstoff"
